Deadline [s], Deadline [min], Reneging Rate r, ERWP, Mean, Variance, Left Value, Right Value, Included?
13200, 220, 0.0045, 4.4141, 4.6054, 0.0727, 4.3484, 4.8624, OK
13800, 230, 0.0043, 4.0151, 3.9824, 0.2019, 3.5540, 4.4109, OK
4500, 75, 0.0133, 5.2184, 4.9316, 0.0562, 4.7055, 5.1577, 
3300, 55, 0.0182, 5.3995, 5.4140, 0.6212, 4.6627, 6.1654, OK
5400, 90, 0.0111, 4.5163, 4.3238, 0.4047, 3.7173, 4.9303, OK
3900, 65, 0.0154, 5.4560, 5.3108, 0.1021, 5.0062, 5.6154, OK
9600, 160, 0.0063, 4.1285, 3.9005, 0.1078, 3.5875, 4.2136, OK
9000, 150, 0.0067, 4.7449, 4.8574, 0.1910, 4.4407, 5.2740, OK
15600, 260, 0.0038, 4.0740, 3.9402, 0.1048, 3.6315, 4.2488, OK
18000, 300, 0.0033, 4.0193, 4.0126, 0.4333, 3.3851, 4.6402, OK
2700, 45, 0.0222, 6.3220, 6.8246, 0.3263, 6.2800, 7.3692, OK
11400, 190, 0.0053, 4.4139, 4.5271, 0.3324, 3.9774, 5.0768, OK
7200, 120, 0.0083, 4.7019, 4.7985, 0.2285, 4.3428, 5.2543, OK
6600, 110, 0.0091, 4.5842, 4.6195, 0.1784, 4.2169, 5.0222, OK
16800, 280, 0.0036, 4.1414, 3.9433, 0.1097, 3.6276, 4.2590, OK
12000, 200, 0.0050, 4.3125, 4.3948, 0.2596, 3.9091, 4.8805, OK
3600, 60, 0.0167, 5.4826, 5.2060, 0.7149, 4.3999, 6.0121, OK
5700, 95, 0.0105, 4.7026, 4.7377, 0.0875, 4.4557, 5.0198, OK
2400, 40, 0.0250, 6.9684, 6.8998, 0.3470, 6.3383, 7.4614, OK
16200, 270, 0.0037, 4.1707, 4.0285, 0.1122, 3.7092, 4.3479, OK
1500, 25, 0.0400, 8.9157, 9.0034, 2.1113, 7.6180, 10.3887, OK
10800, 180, 0.0056, 4.5151, 4.7868, 0.0377, 4.6018, 4.9717, 
15000, 250, 0.0040, 4.1536, 3.7822, 0.3307, 3.2339, 4.3304, OK
12600, 210, 0.0048, 4.3848, 4.3335, 0.1642, 3.9472, 4.7199, OK
4800, 80, 0.0125, 5.0362, 5.0719, 0.7006, 4.2739, 5.8699, OK
1320, 22, 0.0455, 8.7106, 8.9027, 2.2028, 7.4877, 10.3177, OK
6000, 100, 0.0100, 5.0157, 4.8082, 0.2642, 4.3181, 5.2982, OK
10200, 170, 0.0059, 4.2841, 4.2988, 0.0907, 4.0118, 4.5859, OK
1200, 20, 0.0500, 9.1635, 9.3311, 1.5896, 8.1290, 10.5331, OK
1980, 33, 0.0303, 7.0852, 7.4287, 0.2908, 6.9145, 7.9428, OK
7800, 130, 0.0077, 4.4481, 4.1911, 0.1563, 3.8142, 4.5680, OK
5100, 85, 0.0118, 4.8385, 5.0794, 0.2097, 4.6428, 5.5160, OK
4200, 70, 0.0143, 5.3214, 5.2255, 0.0599, 4.9922, 5.4589, OK
8400, 140, 0.0071, 4.7022, 4.4614, 0.0771, 4.1967, 4.7262, OK
14400, 240, 0.0042, 3.9152, 3.8657, 0.2551, 3.3842, 4.3472, OK
17400, 290, 0.0034, 4.1733, 3.9417, 0.2090, 3.5059, 4.3776, OK
3000, 50, 0.0200, 5.7101, 5.8946, 0.5182, 5.2083, 6.5809, OK
