Deadline [s], Deadline [min], Reneging Rate r, MEC, Mean, Variance, Left Value, Right Value, Included?
13200, 220, 0.0045, 1.0790, 1.0935, 0.0041, 1.0467, 1.1403, OK
13800, 230, 0.0043, 0.9963, 0.9817, 0.0047, 0.9315, 1.0320, OK
4500, 75, 0.0133, 1.9586, 1.9174, 0.0220, 1.8085, 2.0263, OK
3300, 55, 0.0182, 2.2170, 2.2066, 0.0642, 2.0206, 2.3927, OK
5400, 90, 0.0111, 1.6364, 1.6515, 0.0318, 1.5205, 1.7825, OK
3900, 65, 0.0154, 2.1370, 2.1027, 0.0032, 2.0609, 2.1445, OK
9600, 160, 0.0063, 1.1875, 1.1560, 0.0114, 1.0776, 1.2344, OK
9000, 150, 0.0067, 1.3705, 1.3920, 0.0149, 1.3023, 1.4816, OK
15600, 260, 0.0038, 0.9735, 0.9650, 0.0038, 0.9198, 1.0103, OK
18000, 300, 0.0033, 0.8904, 0.8901, 0.0060, 0.8333, 0.9470, OK
2700, 45, 0.0222, 2.5862, 2.6653, 0.0405, 2.5175, 2.8131, OK
11400, 190, 0.0053, 1.1686, 1.1717, 0.0031, 1.1311, 1.2123, OK
7200, 120, 0.0083, 1.4779, 1.4775, 0.0103, 1.4030, 1.5519, OK
6600, 110, 0.0091, 1.5293, 1.5504, 0.0146, 1.4616, 1.6392, OK
16800, 280, 0.0036, 0.9700, 0.9549, 0.0021, 0.9215, 0.9883, OK
12000, 200, 0.0050, 1.1169, 1.1104, 0.0056, 1.0557, 1.1652, OK
3600, 60, 0.0167, 2.2096, 2.2133, 0.0360, 2.0740, 2.3526, OK
5700, 95, 0.0105, 1.6285, 1.6071, 0.0181, 1.5083, 1.7058, OK
2400, 40, 0.0250, 2.7903, 2.7459, 0.0342, 2.6100, 2.8818, OK
16200, 270, 0.0037, 0.9751, 0.9475, 0.0039, 0.9018, 0.9932, OK
1500, 25, 0.0400, 3.4895, 3.4734, 0.0424, 3.3223, 3.6246, OK
10800, 180, 0.0056, 1.2344, 1.2271, 0.0058, 1.1710, 1.2832, OK
15000, 250, 0.0040, 1.0004, 0.9854, 0.0015, 0.9570, 1.0137, OK
12600, 210, 0.0048, 1.0881, 1.0904, 0.0015, 1.0617, 1.1192, OK
4800, 80, 0.0125, 1.8385, 1.8361, 0.0429, 1.6839, 1.9882, OK
1320, 22, 0.0455, 3.4687, 3.4573, 0.1220, 3.2008, 3.7138, OK
6000, 100, 0.0100, 1.6947, 1.6725, 0.0251, 1.5561, 1.7890, OK
10200, 170, 0.0059, 1.1998, 1.2152, 0.0112, 1.1374, 1.2930, OK
1200, 20, 0.0500, 3.5914, 3.6000, 0.0535, 3.4300, 3.7699, OK
1980, 33, 0.0303, 2.9414, 2.9860, 0.0522, 2.8182, 3.1539, OK
7800, 130, 0.0077, 1.3625, 1.3614, 0.0099, 1.2885, 1.4343, OK
5100, 85, 0.0118, 1.7599, 1.7879, 0.0119, 1.7077, 1.8682, OK
4200, 70, 0.0143, 2.0241, 1.9977, 0.0175, 1.9006, 2.0949, OK
8400, 140, 0.0071, 1.3843, 1.3674, 0.0080, 1.3015, 1.4332, OK
14400, 240, 0.0042, 0.9667, 0.9505, 0.0059, 0.8943, 1.0068, OK
17400, 290, 0.0034, 0.9362, 0.9387, 0.0057, 0.8835, 0.9940, OK
3000, 50, 0.0200, 2.3837, 2.4119, 0.0368, 2.2710, 2.5528, OK
