Deadline [s], Deadline [min], Reneging Rate r, Mean, Variance, Left Value, Right Value
1200,20,0.05,3.8506,0.0542,3.8263,3.8749
1320,22,0.0455,3.5856,0.0487,3.5625,3.6086
1500,25,0.04,3.3009,0.0427,3.2794,3.3225
1980,33,0.0303,2.6685,0.0331,2.6495,2.6875
2400,40,0.025,2.2393,0.0268,2.2222,2.2564
2700,45,0.0222,2.0163,0.027,1.9991,2.0334
3000,50,0.02,1.8133,0.0204,1.7984,1.8282
3300,55,0.0182,1.6451,0.0167,1.6316,1.6586
3600,60,0.0167,1.5071,0.0164,1.4937,1.5205
3900,65,0.0154,1.3891,0.0143,1.3766,1.4016
4200,70,0.0143,1.2932,0.0136,1.2811,1.3054
4500,75,0.0133,1.209,0.0118,1.1976,1.2203
4800,80,0.0125,1.1307,0.009,1.1208,1.1407
5100,85,0.0118,1.0643,0.0103,1.0537,1.0749
5400,90,0.0111,1.0156,0.0063,1.0073,1.0239
5700,95,0.0105,0.9579,0.0066,0.9494,0.9664
6000,100,0.01,0.9311,0.0068,0.9225,0.9398
6600,110,0.0091,0.8526,0.0044,0.8457,0.8595
7200,120,0.0083,0.814,0.0035,0.8078,0.8202
7800,130,0.0077,0.7756,0.0024,0.7704,0.7807
8400,140,0.0071,0.7479,0.0018,0.7435,0.7524
9000,150,0.0067,0.7273,0.0015,0.7232,0.7313
