Deadline [s], Deadline [min], Reneging Rate r, ERWP, Mean, Variance, Left Value, Right Value, Included?
13200, 220, 0.0045, 1.3806, 1.3312, 0.0065, 1.2543, 1.4081, OK
13800, 230, 0.0043, 1.3577, 1.3763, 0.0116, 1.2737, 1.4790, OK
4500, 75, 0.0133, 2.3385, 2.3751, 0.0347, 2.1976, 2.5526, OK
3300, 55, 0.0182, 2.6150, 2.5756, 0.0564, 2.3491, 2.8021, OK
5400, 90, 0.0111, 2.0455, 1.9838, 0.0373, 1.7996, 2.1679, OK
3900, 65, 0.0154, 2.5222, 2.5432, 0.1335, 2.1949, 2.8915, OK
9600, 160, 0.0063, 1.5446, 1.4445, 0.0308, 1.2772, 1.6118, OK
9000, 150, 0.0067, 1.6829, 1.6600, 0.0238, 1.5129, 1.8072, OK
15600, 260, 0.0038, 1.2946, 1.2983, 0.0156, 1.1792, 1.4173, OK
18000, 300, 0.0033, 1.1811, 1.1503, 0.0070, 1.0707, 1.2300, OK
2700, 45, 0.0222, 2.8951, 2.9002, 0.0828, 2.6259, 3.1745, OK
11400, 190, 0.0053, 1.3804, 1.3838, 0.0135, 1.2731, 1.4945, OK
7200, 120, 0.0083, 1.8103, 1.8088, 0.0173, 1.6835, 1.9341, OK
6600, 110, 0.0091, 1.9271, 1.9839, 0.0322, 1.8130, 2.1549, OK
16800, 280, 0.0036, 1.1947, 1.1913, 0.0029, 1.1398, 1.2428, OK
12000, 200, 0.0050, 1.3879, 1.4014, 0.0019, 1.3601, 1.4428, OK
3600, 60, 0.0167, 2.4798, 2.3985, 0.0153, 2.2807, 2.5163, OK
5700, 95, 0.0105, 2.0220, 2.0561, 0.0412, 1.8627, 2.2495, OK
2400, 40, 0.0250, 3.2388, 3.1958, 0.1008, 2.8931, 3.4984, OK
16200, 270, 0.0037, 1.2587, 1.2691, 0.0201, 1.1340, 1.4041, OK
1500, 25, 0.0400, 4.0556, 4.0441, 0.1129, 3.7238, 4.3644, OK
10800, 180, 0.0056, 1.4562, 1.5100, 0.0059, 1.4367, 1.5833, OK
15000, 250, 0.0040, 1.3109, 1.3064, 0.0103, 1.2096, 1.4032, OK
12600, 210, 0.0048, 1.4152, 1.3996, 0.0020, 1.3570, 1.4423, OK
4800, 80, 0.0125, 2.2184, 2.1454, 0.0222, 2.0033, 2.2874, OK
1320, 22, 0.0455, 4.3114, 4.4724, 0.0692, 4.2217, 4.7232, OK
6000, 100, 0.0100, 2.0004, 1.9999, 0.0034, 1.9445, 2.0553, OK
10200, 170, 0.0059, 1.5577, 1.5412, 0.0127, 1.4335, 1.6488, OK
1200, 20, 0.0500, 4.1863, 4.2629, 0.4496, 3.6236, 4.9021, OK
1980, 33, 0.0303, 3.3487, 3.3437, 0.3082, 2.8145, 3.8730, OK
7800, 130, 0.0077, 1.7246, 1.8376, 0.0275, 1.6794, 1.9958, OK
5100, 85, 0.0118, 2.0375, 2.0720, 0.0221, 1.9302, 2.2138, OK
4200, 70, 0.0143, 2.3587, 2.3454, 0.0654, 2.1015, 2.5894, OK
8400, 140, 0.0071, 1.7196, 1.7294, 0.0250, 1.5787, 1.8800, OK
14400, 240, 0.0042, 1.3178, 1.3311, 0.0119, 1.2272, 1.4349, OK
17400, 290, 0.0034, 1.1953, 1.1434, 0.0007, 1.1176, 1.1692, 
3000, 50, 0.0200, 2.7788, 2.8006, 0.0588, 2.5694, 3.0318, OK
